ts,lat,lon,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2017-11-25 21:52,1.361,103.966,0.474,0.903,3,-4.404,1,0.0388,0.0176,0.0,0.121,0.554,150.036,4
2017-11-25 21:52,1.361,103.966,0.764,0.177,9,-13.596,0,0.0983,0.881,3.34e-05,0.121,0.593,115.697,4
2017-11-25 21:52,1.361,103.966,0.348,0.432,10,-8.802,1,0.0316,0.541,0.000188,0.0994,0.198,85.401,4
2017-11-25 21:52,1.361,103.966,0.449,0.931,7,-3.421,1,0.0963,0.0298,0.0,0.0879,0.328,162.028,4
2017-11-25 21:52,1.361,103.966,0.565,0.732,9,-6.297,0,0.0283,0.128,0.0,0.365,0.288,83.984,4
2017-11-25 21:52,1.361,103.966,0.432,0.377,7,-5.79,1,0.0304,0.459,0.0,0.114,0.394,94.973,3
2017-11-25 21:52,1.361,103.966,0.494,0.899,1,-4.492,1,0.0468,0.019,1.39e-05,0.189,0.352,84.006,4
2017-11-25 21:52,1.361,103.966,0.566,0.407,0,-10.293,1,0.0914,0.766,0.000185,0.111,0.156,119.781,4
2017-11-25 21:52,1.361,103.966,0.622,0.389,6,-5.612,1,0.0819,0.454,0.0,0.152,0.532,74.002,4
2017-11-25 21:52,1.361,103.966,0.471,0.723,2,-5.47,1,0.025,0.000669,6.21e-06,0.285,0.192,82.032,4
2017-11-25 21:52,1.361,103.966,0.545,0.932,7,-2.189,0,0.0399,0.000665,0.0,0.127,0.464,92.956,4
2017-11-25 21:52,1.361,103.966,0.41,0.834,5,-5.375,1,0.054,0.0651,0.0,0.115,0.333,147.982,4
2017-11-25 21:52,1.361,103.966,0.734,0.313,4,-8.911,1,0.0268,0.855,0.00138,0.0948,0.34,86.913,4
2017-11-25 21:52,1.361,103.966,0.451,0.605,7,-4.916,1,0.0309,0.115,0.0,0.154,0.345,97.982,3
2017-11-25 21:52,1.361,103.966,0.68,0.593,1,-6.496,1,0.176,0.328,0.0,0.105,0.399,94.007,4
2017-11-25 21:52,1.361,103.966,0.628,0.727,5,-4.441,1,0.0511,0.302,1.81e-06,0.211,0.656,95.923,4
2017-11-25 21:52,1.361,103.966,0.431,0.59,4,-6.362,1,0.0284,0.163,1.11e-05,0.0981,0.257,150.193,4
2017-11-25 21:52,1.361,103.966,0.506,0.619,8,-3.962,1,0.0293,0.252,0.0,0.067,0.448,90.949,4
2017-11-28 00:45,1.318,103.844,0.331,0.969,6,-3.705,1,0.0901,0.000959,0.00728,0.179,0.272,93.044,4
2017-11-28 00:50,1.332,103.848,0.331,0.969,6,-3.705,1,0.0901,0.000959,0.00728,0.179,0.272,93.044,4
2017-11-28 00:50,1.332,103.848,0.331,0.969,6,-3.705,1,0.0901,0.000959,0.00728,0.179,0.272,93.044,4
2017-11-29 08:43,1.32,103.843,0.566,0.407,0,-10.293,1,0.0914,0.766,0.000185,0.111,0.156,119.781,4
2017-11-29 08:59,1.313,103.85,0.756,0.495,0,-7.125,1,0.0381,0.0506,0.0,0.0816,0.676,120.071,4
2017-11-30 00:02,1.312,103.853,0.331,0.969,6,-3.705,1,0.0901,0.000959,0.00728,0.179,0.272,93.044,4
2017-11-30 10:30,1.313,103.853,0.484,0.448,5,-6.061,1,0.0259,0.443,1.16e-05,0.0939,0.337,87.916,4
2017-11-30 10:35,1.313,103.85,0.289,0.796,0,-4.22,1,0.0494,0.00837,2.61e-05,0.202,0.33,169.835,4
2017-11-30 10:37,1.313,103.85,0.457,0.515,4,-4.31,1,0.0261,0.358,0.0,0.278,0.222,74.984,4
2017-12-06 00:29,1.326,103.891,0.736,0.391,1,-12.501,0,0.0749,0.409,7.92e-05,0.111,0.232,79.998,4
2017-12-06 00:29,1.327,103.89,0.736,0.391,1,-12.501,0,0.0749,0.409,7.92e-05,0.111,0.232,79.998,4
2017-12-07 00:19,1.313,103.85,0.517,0.286,5,-11.75,0,0.0421,0.344,0.0,0.118,0.142,82.141,4
